iter	Passed	Remaining
0	0	516
1	0	465
2	1	434
3	1	426
4	2	421
5	2	410
6	3	429
7	3	476
8	5	580
9	6	691
10	7	715
11	8	728
12	9	734
13	10	749
14	11	760
15	12	757
16	13	763
17	13	749
18	14	751
19	15	744
20	16	749
21	16	747
22	17	746
23	18	745
24	18	738
25	19	734
26	20	739
27	21	748
28	22	747
29	22	736
30	23	733
31	24	732
32	24	729
33	25	725
34	26	718
35	26	714
36	27	708
37	27	701
38	28	693
39	28	687
40	29	680
41	29	674
42	30	671
43	30	665
44	31	658
45	31	653
46	32	652
47	32	649
48	33	644
49	33	641
50	34	638
51	34	636
52	35	640
53	36	637
54	37	636
55	37	636
56	38	633
57	38	630
58	39	626
59	39	623
60	40	620
61	40	617
62	41	614
63	41	611
64	42	607
65	42	606
66	43	604
67	43	602
68	44	600
69	44	597
70	45	598
71	46	596
72	46	593
73	47	591
74	47	589
75	48	589
76	49	587
77	49	585
78	50	585
79	50	583
80	51	581
81	51	579
82	52	575
83	52	573
84	53	571
85	53	569
86	53	566
87	54	566
88	55	563
89	55	562
90	56	560
91	56	558
92	57	557
93	57	555
94	58	553
95	58	551
96	59	550
97	59	548
98	60	548
99	60	548
100	61	547
101	62	546
102	62	544
103	63	543
104	63	542
105	64	540
106	64	539
107	65	537
108	66	539
109	66	538
110	67	538
111	67	536
112	68	535
113	68	534
114	69	533
115	69	532
116	70	530
117	70	529
118	71	527
119	71	526
120	72	524
121	72	523
122	73	521
123	73	520
124	74	519
125	74	518
126	75	516
127	75	515
128	76	515
129	76	513
130	77	512
131	77	512
132	78	511
133	79	510
134	79	509
135	80	508
136	80	507
137	81	507
138	81	506
139	82	505
140	82	504
141	83	502
142	83	501
143	84	500
144	84	499
145	85	498
146	85	497
147	86	496
148	86	495
149	87	494
150	87	493
151	88	492
152	88	491
153	89	489
154	89	488
155	90	487
156	90	486
157	91	485
158	91	484
159	92	483
160	92	481
161	92	480
162	93	479
163	93	478
164	94	478
165	94	476
166	95	475
167	95	474
168	96	473
169	96	473
170	97	472
171	97	471
172	98	469
173	98	469
174	99	467
175	99	467
176	100	466
177	100	464
178	101	463
179	101	462
180	102	462
181	102	461
182	103	460
183	103	459
184	104	458
185	104	457
186	104	456
187	105	455
188	106	454
189	106	454
190	106	453
191	107	452
192	107	451
193	108	450
194	108	449
195	109	448
196	109	447
197	110	446
198	110	446
199	111	445
200	111	444
201	112	444
202	113	443
203	113	443
204	114	442
205	114	441
206	114	440
207	115	439
208	115	438
209	116	438
210	117	438
211	117	437
212	118	436
213	118	435
214	118	434
215	119	433
216	119	432
217	120	431
218	120	430
219	121	429
220	121	428
221	122	427
222	122	426
223	122	426
224	123	425
225	123	424
226	124	423
227	124	422
228	125	422
229	125	421
230	126	420
231	126	419
232	127	419
233	127	418
234	128	417
235	128	416
236	129	415
237	129	414
238	129	413
239	130	412
240	130	412
241	131	411
242	131	411
243	132	410
244	133	410
245	133	409
246	133	408
247	134	407
248	134	406
249	135	405
250	135	405
251	136	404
252	136	403
253	137	402
254	137	402
255	138	401
256	138	400
257	139	399
258	139	399
259	139	398
260	140	397
261	140	396
262	141	396
263	142	396
264	142	395
265	143	395
266	143	394
267	144	394
268	144	393
269	145	392
270	145	392
271	146	391
272	146	391
273	147	390
274	148	390
275	148	390
276	149	389
277	149	388
278	150	388
279	150	387
280	151	386
281	151	386
282	152	385
283	152	384
284	152	383
285	153	382
286	153	381
287	154	381
288	154	380
289	155	380
290	155	379
291	156	379
292	156	378
293	157	378
294	157	377
295	158	377
296	159	376
297	159	376
298	160	375
299	160	374
300	161	374
301	161	373
302	162	373
303	162	372
304	163	371
305	163	371
306	164	370
307	164	369
308	164	368
309	165	368
310	165	367
311	166	366
312	166	366
313	167	365
314	167	365
315	168	364
316	168	363
317	169	363
318	169	362
319	170	361
320	170	361
321	171	360
322	171	359
323	172	359
